seed,l1_staff,l2_staff,arrivals,served,avg_wait_min,p95_wait_min,util_l1,fcr,reopen,voc_mean,sla_2min
12351,10,4,2184,2122,608.8746912357691,3727.0707567798845,0.33605843443157996,0.7615457115928369,0.018378887841658812,3.4880926129937238,0.05513666352497644
12352,10,4,2260,2172,493.51885923800575,3201.3813825643956,0.33377626474658445,0.7849907918968693,0.015193370165745856,3.5221236426331863,0.049263351749539594
12353,10,4,2258,2184,594.1126981732637,3732.823241549946,0.3453361646094048,0.7710622710622711,0.0173992673992674,3.471930687963741,0.05815018315018315
12354,10,4,2473,2339,475.2545505106357,3265.812353864175,0.3663052494231814,0.7674219752030782,0.023086789226165028,3.4611649355057206,0.05557930739632321
12355,10,4,2265,2217,538.9472267334113,3472.0738774456067,0.34542040640116706,0.7573297248534056,0.02074875958502481,3.471836649681336,0.058186738836265225
12356,10,4,2201,2141,577.4821481033421,3474.7273905177217,0.33528365313669717,0.762260625875759,0.022419430172816442,3.4774981390502298,0.06258757589911257
12357,10,4,2326,2223,555.5253774559234,3515.0712328595337,0.34810839602609434,0.7606837606837606,0.01979307242465137,3.4486293794240246,0.058929374718848404
12358,10,4,2320,2214,572.1090676260262,3789.7227818100973,0.3606726546033613,0.7687443541102078,0.018518518518518517,3.4846683321442864,0.05058717253839205
12359,10,4,2221,2124,511.87872974161183,3387.700904304785,0.33661932915211756,0.800376647834275,0.022128060263653482,3.5414840970816326,0.060263653483992465
12360,10,4,2229,2177,492.02932688271255,3597.144446025869,0.32723666419687003,0.7900780891134589,0.016536518144235186,3.5253604623610766,0.0666054203031695
12361,10,4,2252,2153,606.8532449968908,3623.9653566068996,0.347261656891237,0.7575476079888528,0.01764979098931723,3.462562676537616,0.04505341384115188
12362,10,4,2311,2206,490.3135170714828,3260.973288393454,0.36934509397707105,0.7815049864007253,0.01586582048957389,3.505845382384073,0.04623753399818677
12363,10,4,2268,2177,589.7926055717677,3624.6964326354546,0.34447151985557606,0.7625172255397336,0.01607717041800643,3.470426324480923,0.05466237942122187
12364,10,4,2324,2233,528.4286516157,3446.8398752490025,0.34716935612296035,0.7604120017913122,0.018808777429467086,3.4726320153294084,0.047021943573667714
12365,10,4,2233,2182,491.078971237161,3248.551499361946,0.34491219030515935,0.7836846929422548,0.018790100824931256,3.4989196804871985,0.06599450045829514
12366,10,4,2313,2223,574.721567989165,3604.1772774461156,0.3472504705284305,0.7494376968061178,0.01979307242465137,3.4403610137133396,0.053531264057579846
12367,10,4,2263,2191,594.4097026683481,3732.942631115408,0.349839473001733,0.7649475125513464,0.019625741670470105,3.4770929643543247,0.05933363760839799
12368,10,4,2233,2173,531.116024526401,3451.479237841609,0.3386154826773803,0.7616198803497469,0.016106764841233318,3.468539298528803,0.06580763920846755
12369,10,4,2226,2139,501.46450833905493,3565.4717584163113,0.32934672293590317,0.766713417484806,0.01916783543712015,3.4633126578475593,0.05890603085553997
12370,10,4,2338,2253,514.9808123373975,3193.327404980022,0.34986390725654465,0.7652019529516201,0.011096316023080338,3.48105795632235,0.047936085219707054
